"name","title","play_price_p","prize_pool","all_top_prizes","left_top_prizes","game_procedures_uuid","closure_date","pdf_path"
"£100 Tripler [1495]","£100 Tripler [1495]",200,100,2992,226,"34233e4e-4cbb-4ad2-aa36-df4e5ea45cad","2028-08-02T23:00:00.000Z","lottery_pdfs/_100_Tripler_1495_.pdf"
"£100,000 A Month For A Year [1479]","£100,000 A Month For A Year [1479]",500,1200000,3,1,"04706851-426e-4d32-91c8-b4c316183020","2028-08-03T00:00:00.000Z","lottery_pdfs/_100_000_A_Month_For_A_Year_1479_.pdf"
"£100,000 Gold [1475]","£100,000 Gold [1475]",100,100000,5,3,"dd1bb980-d849-41ed-8361-3cff51cb53c8","2028-08-03T00:00:00.000Z","lottery_pdfs/_100_000_Gold_1475_.pdf"
"£1 Million [1472]","£1 Million [1472]",500,1000000,3,1,"1eade861-9db2-42ee-b04b-fe119d8b0466","2028-08-03T00:00:00.000Z","lottery_pdfs/_1_Million_1472_.pdf"
"£250,000 Silver [1468]","£250,000 Silver*** [1468]",200,250000,7,0,"a936a8cc-c2b6-4491-8f7d-76bb758351ed","2028-08-03T00:00:00.000Z","lottery_pdfs/_250_000_Silver_1468_.pdf"
"£2 Million Green [1493]","£2 Million Green [1493]",500,2000000,4,1,"28449dd7-94d5-4a69-b8b5-aeb4c998d568","2028-08-02T23:00:00.000Z","lottery_pdfs/_2_Million_Green_1493_.pdf"
"£2 Million Red [1455]","£2 Million Red** [1455]",500,2000000,5,1,"b1c3fc3a-a84f-490c-905a-d3de7b735b6f","2028-08-03T00:00:00.000Z","lottery_pdfs/_2_Million_Red_1455_.pdf"
"50X [1480]","50X*** [1480]",500,1000000,4,0,"69e879f2-e0dc-461d-9ede-61921ec4083d","2028-08-03T00:00:00.000Z","lottery_pdfs/50X_1480_.pdf"
"£500 Loaded [1471]","£500 Loaded** [1471]",500,500,14027,2492,"3199e339-7cc6-45d9-8522-80e6e22541b2","2028-08-02T23:00:00.000Z","lottery_pdfs/_500_Loaded_1471_.pdf"
"Bingo Tripler [1467]","Bingo Tripler [1467]",300,300000,4,2,"c033d063-1dc4-4029-9a6a-19b70a3c8f8b","2028-08-02T23:00:00.000Z","lottery_pdfs/Bingo_Tripler_1467_.pdf"
"Bonus Multiplier [1476]","Bonus Multiplier [1476]",200,100000,4,3,"669b8c9e-80bf-42fb-99ea-8ef8a0763e41","2028-08-03T00:00:00.000Z","lottery_pdfs/Bonus_Multiplier_1476_.pdf"
"Cash Match [1470]","Cash Match*** [1470]",300,300000,4,0,"4ffc655f-9ec7-4359-b961-541d55fcc2ea","2028-08-03T00:00:00.000Z","lottery_pdfs/Cash_Match_1470_.pdf"
"Grid Of Fortune [1465]","Grid Of Fortune*** [1465]",300,300000,7,0,"3a5300c1-a24d-40e2-b6e8-9b7e855ea509","2028-08-02T23:00:00.000Z","lottery_pdfs/Grid_Of_Fortune_1465_.pdf"
"Lucky Bonus [1458]","Lucky Bonus [1458]",300,300000,4,1,"ee764bea-d06a-4b9f-a73e-9f370a7dc3ad","2028-08-03T00:00:00.000Z","lottery_pdfs/Lucky_Bonus_1458_.pdf"
"Mega Cashword [1457]","Mega Cashword [1457]",500,1000000,4,1,"51cd1727-d9d0-4566-a85e-bd2a0f6319a9","2028-08-03T00:00:00.000Z","lottery_pdfs/Mega_Cashword_1457_.pdf"
"Millionaire Maker [1438]","Millionaire Maker** [1438]",500,1000000,6,2,"6b57126e-f869-4e89-9a02-b0ba1bca46ad","2028-08-03T00:00:00.000Z","lottery_pdfs/Millionaire_Maker_1438_.pdf"
"Money Spider [1426]","Money Spider** [1426]",100,5000,10,3,"188847f7-a582-4b27-9186-51ea2670f2f2","2028-08-03T00:00:00.000Z","lottery_pdfs/Money_Spider_1426_.pdf"
"Silver & Gold [1474]","Silver & Gold [1474]",500,1000000,3,1,"3bde55da-ea09-424b-a57f-27127a209a6a","2028-08-02T23:00:00.000Z","lottery_pdfs/Silver_Gold_1474_.pdf"
"Triple Payout [1436]","Triple Payout [1436]",300,300000,4,2,"73fccd89-4ede-48fd-9f16-3dfe35ddbbfe","2028-08-03T00:00:00.000Z","lottery_pdfs/Triple_Payout_1436_.pdf"
"Winning 7s [1473]","Winning 7s [1473]",200,70000,4,1,"e5d9e257-2d09-4d11-9196-e98c8f77139a","2028-08-02T23:00:00.000Z","lottery_pdfs/Winning_7s_1473_.pdf"
"Deal Or No Deal [1494]","Deal or No Deal [1494]",500,1500000,4,1,"67d2cbe7-3bbc-44f4-aeed-74faca672099","2028-08-02T23:00:00.000Z","lottery_pdfs/Deal_Or_No_Deal_1494_.pdf"
"Cashword Bonus [1492]","Cashword Bonus [1492]",300,300000,4,1,"8194923e-d098-4f5a-a87b-370835f0d364","2028-08-02T23:00:00.000Z","lottery_pdfs/Cashword_Bonus_1492_.pdf"
"Double Match [1489]","Double Match*** [1489]",100,5000,4,0,"9d28ea1e-abc4-4a43-ba88-945da9a64b81","2028-08-02T23:00:00.000Z","lottery_pdfs/Double_Match_1489_.pdf"
"£500 Loaded [1504]","£500 Loaded [1504]",500,500,11548,2212,"ec2a7284-4a40-4222-80de-7a3c0f878bfe","2028-08-02T23:00:00.000Z","lottery_pdfs/_500_Loaded_1504_.pdf"
"Loaded Lines [1491]","Loaded Lines** [1491]",300,300000,7,2,"2aacc7b7-caae-4620-a4ab-3576f4ba5ba6","2028-08-02T23:00:00.000Z","lottery_pdfs/Loaded_Lines_1491_.pdf"
"£25,000,000 Bonanza! [1490]","£25,000,000 Bonanza! [1490]",200,50000,5,2,"2c860e8c-0869-4f00-84f6-6bebb4e80228","2028-08-02T23:00:00.000Z","lottery_pdfs/_25_000_000_Bonanza_1490_.pdf"
"3 In 1 [1516]","3 in 1 [1516]",500,1000000,3,2,"bcbb9c86-e741-4c8a-89d3-b9b1fd7f3d0e","2028-08-02T23:00:00.000Z","lottery_pdfs/3_In_1_1516_.pdf"
"Win £10, £100 Or £1 Million [1488]","Win £10, £100 or £1 Million [1488]",500,1000000,3,1,"8df3dbb9-446d-49d2-ad6c-eae5e024e48c","2028-08-02T23:00:00.000Z","lottery_pdfs/Win_10_100_Or_1_Million_1488_.pdf"
"4 Ways To Win [1487]","4 Ways To Win [1487]",300,300000,4,3,"b5e60d13-7890-498d-aa31-4002a44f4a7f","2028-08-03T00:00:00.000Z","lottery_pdfs/4_Ways_To_Win_1487_.pdf"
"£100,000 A Month For A Year [1499]","£100,000 A Month For A Year [1499]",500,1200000,3,1,"78313a8a-c245-4b01-afdc-66dd7f265a96","2028-08-02T23:00:00.000Z","lottery_pdfs/_100_000_A_Month_For_A_Year_1499_.pdf"
"£300,000 Birthday [1498]","£300,000 Birthday [1498]",200,300000,5,2,"3a63627a-2e2f-477c-9515-5376066138fe","2028-08-02T23:00:00.000Z","lottery_pdfs/_300_000_Birthday_1498_.pdf"
"£100,000 Jackpot [1497]","£100,000 Jackpot [1497]",100,100000,4,4,"22b5c037-fef8-4557-9c2b-96069945b697","2028-08-03T00:00:00.000Z","lottery_pdfs/_100_000_Jackpot_1497_.pdf"
"£2 Million Gold [1496]","£2 Million Gold [1496]",500,2000000,3,1,"c39db447-800a-43d3-aa1e-ecb5c9a49337","2028-08-02T23:00:00.000Z","lottery_pdfs/_2_Million_Gold_1496_.pdf"
"Spin £100 [1513]","Spin £100 [1513]",200,100,2909,1959,"c1e707f0-6efa-4f20-b7bb-8ea9038b5b8d","2028-08-02T23:00:00.000Z","lottery_pdfs/Spin_100_1513_.pdf"
"20X [1501]","20X [1501]",200,100000,4,3,"949a8873-9621-48e7-b7f7-3cb9dc46842b","2028-08-02T23:00:00.000Z","lottery_pdfs/20X_1501_.pdf"
"7 Times Lucky [1512]","7 Times Lucky [1512]",200,70000,5,5,"c40b4bb9-ddde-41e9-84a7-a6791f64e01b","2028-08-02T23:00:00.000Z","lottery_pdfs/7_Times_Lucky_1512_.pdf"
"All About 25 [1509]","All About 25 [1509]",500,25000,25,18,"12b76eb9-19cd-4905-a8de-d6166bd36500","2028-08-02T23:00:00.000Z","lottery_pdfs/All_About_25_1509_.pdf"
"Bingo Multiplier [1500]","Bingo Multiplier [1500]",300,300000,4,3,"115fef1a-3974-46d8-a2fc-fd0281291bb9","2028-08-02T23:00:00.000Z","lottery_pdfs/Bingo_Multiplier_1500_.pdf"
"Fiver Or Tenner [1505]","Fiver Or Tenner** [1505]",100,10,189777,124268,"f2446723-6afe-462a-9218-ff50a268e719","2028-08-02T23:00:00.000Z","lottery_pdfs/Fiver_Or_Tenner_1505_.pdf"
"Fortunes Of Fire & Ice [1478]","Fortunes Of Fire & Ice [1478]",300,300000,4,3,"72b2888a-8c55-48b0-8ebd-70ed7e00fbc1","2028-08-02T23:00:00.000Z","lottery_pdfs/Fortunes_Of_Fire_Ice_1478_.pdf"
"Beat The Chasers [1511]","Beat The Chasers [1511]",500,1500000,3,2,"95302637-d1a1-4e2d-8ead-a7e3af64fbc7","2028-08-02T23:00:00.000Z","lottery_pdfs/Beat_The_Chasers_1511_.pdf"
"Full Of £1,000s [1515]","Full Of £1,000s [1515]",500,1000,9031,8019,"ce68b7ee-ce9b-4294-bae6-9e20fbbcc439","2028-08-02T23:00:00.000Z","lottery_pdfs/Full_Of_1_000s_1515_.pdf"
"Cashword Extra [1507]","Cashword Extra [1507]",300,300000,4,4,"c366298e-0846-42ac-aec8-afd6efcdd9aa","2028-08-02T23:00:00.000Z","lottery_pdfs/Cashword_Extra_1507_.pdf"
"Red Hot 7s [1503]","Red Hot 7s [1503]",500,700000,4,4,"58ab4a5c-fcef-4df8-9f1d-6d5dde81cea5","2028-08-02T23:00:00.000Z","lottery_pdfs/Red_Hot_7s_1503_.pdf"
"£100,000 A Month For A Year [1502]","£100,000 A Month For A Year [1502]",500,1200000,3,3,"05eba1fc-7874-4a3a-a896-77f888f38340","2028-08-02T23:00:00.000Z","lottery_pdfs/_100_000_A_Month_For_A_Year_1502_.pdf"
